,Category,Name,places_link
0,Attractions,"1. Kingdom Centre Tower1,896",https://www.tripadvisor.com/Attraction_Review-g293995-d675824-Reviews-Kingdom_Centre_Tower-Riyadh_Riyadh_Province.html
1,Attractions,2. Edge of The World375,https://www.tripadvisor.com/Attraction_Review-g293995-d5053663-Reviews-Edge_of_The_World-Riyadh_Riyadh_Province.html
2,Attractions,3. Al Masmak Fortress646,https://www.tripadvisor.com/Attraction_Review-g293995-d319490-Reviews-Al_Masmak_Fortress-Riyadh_Riyadh_Province.html
3,Attractions,4. National Museum706,https://www.tripadvisor.com/Attraction_Review-g293995-d319489-Reviews-National_Museum-Riyadh_Riyadh_Province.html
4,Attractions,5. Al Rajhi Mosque324,https://www.tripadvisor.com/Attraction_Review-g293995-d8150867-Reviews-Al_Rajhi_Mosque-Riyadh_Riyadh_Province.html
5,Attractions,6. Al Nakheel Mall289,https://www.tripadvisor.com/Attraction_Review-g293995-d8471270-Reviews-Al_Nakheel_Mall-Riyadh_Riyadh_Province.html
6,Attractions,7. King Abdullah Park307,https://www.tripadvisor.com/Attraction_Review-g293995-d7250993-Reviews-King_Abdullah_Park-Riyadh_Riyadh_Province.html
7,Attractions,8. King Abdulaziz Equestrian Field106,https://www.tripadvisor.com/Attraction_Review-g293995-d2572906-Reviews-King_Abdulaziz_Equestrian_Field-Riyadh_Riyadh_Province.html
8,Attractions,9. Al Faisaliyah Centre662,https://www.tripadvisor.com/Attraction_Review-g293995-d2441573-Reviews-Al_Faisaliyah_Centre-Riyadh_Riyadh_Province.html
9,Attractions,10. King Abdulaziz Historical Center145,https://www.tripadvisor.com/Attraction_Review-g293995-d4022456-Reviews-King_Abdulaziz_Historical_Center-Riyadh_Riyadh_Province.html
10,Attractions,11. Riyadh Gallery Mall251,https://www.tripadvisor.com/Attraction_Review-g293995-d3140287-Reviews-Riyadh_Gallery_Mall-Riyadh_Riyadh_Province.html
11,Attractions,12. Riyadh Zoo597,https://www.tripadvisor.com/Attraction_Review-g293995-d319505-Reviews-Riyadh_Zoo-Riyadh_Riyadh_Province.html
12,Attractions,13. Panorama Mall122,https://www.tripadvisor.com/Attraction_Review-g293995-d2615272-Reviews-Panorama_Mall-Riyadh_Riyadh_Province.html
13,Attractions,14. Riyadh Park Mall58,https://www.tripadvisor.com/Attraction_Review-g293995-d16850027-Reviews-Riyadh_Park_Mall-Riyadh_Riyadh_Province.html
14,Attractions,15. Granada Center244,https://www.tripadvisor.com/Attraction_Review-g293995-d2524569-Reviews-Granada_Center-Riyadh_Riyadh_Province.html
15,Attractions,16. King Khalid Grand Mosque85,https://www.tripadvisor.com/Attraction_Review-g293995-d8434729-Reviews-King_Khalid_Grand_Mosque-Riyadh_Riyadh_Province.html
16,Attractions,17. Tahlia Street141,https://www.tripadvisor.com/Attraction_Review-g293995-d5529963-Reviews-Tahlia_Street-Riyadh_Riyadh_Province.html
17,Attractions,18. Riyadh Season Boulevard25,https://www.tripadvisor.com/Attraction_Review-g293995-d19804867-Reviews-Riyadh_Season_Boulevard-Riyadh_Riyadh_Province.html
18,Attractions,19. Salam Park163,https://www.tripadvisor.com/Attraction_Review-g293995-d6685856-Reviews-Salam_Park-Riyadh_Riyadh_Province.html
19,Attractions,20. Janadriyah Festival40,https://www.tripadvisor.com/Attraction_Review-g293995-d10020476-Reviews-Janadriyah_Festival-Riyadh_Riyadh_Province.html
20,Attractions,21. Wadi Namar102,https://www.tripadvisor.com/Attraction_Review-g293995-d8670865-Reviews-Wadi_Namar-Riyadh_Riyadh_Province.html
21,Attractions,22. Wadi Hanifa343,https://www.tripadvisor.com/Attraction_Review-g293995-d10358022-Reviews-Wadi_Hanifa-Riyadh_Riyadh_Province.html
22,Attractions,23. Hayat Mall91,https://www.tripadvisor.com/Attraction_Review-g293995-d2646188-Reviews-Hayat_Mall-Riyadh_Riyadh_Province.html
23,Attractions,24. Saqer-Aljazirah Aviation Museum113,https://www.tripadvisor.com/Attraction_Review-g293995-d3470105-Reviews-Saqer_Aljazirah_Aviation_Museum-Riyadh_Riyadh_Province.html
24,Attractions,25. Imam Turki Bin Abdullah Grand Mosque60,https://www.tripadvisor.com/Attraction_Review-g293995-d8178758-Reviews-Imam_Turki_Bin_Abdullah_Grand_Mosque-Riyadh_Riyadh_Province.html
25,Attractions,26. Strike Bowling Alley441,https://www.tripadvisor.com/Attraction_Review-g293995-d8745836-Reviews-Strike_Bowling_Alley-Riyadh_Riyadh_Province.html
26,Attractions,27. Princess Latifa Bint Sultan Bin Abdulaziz Mosque24,https://www.tripadvisor.com/Attraction_Review-g293995-d8434723-Reviews-Princess_Latifa_Bint_Sultan_Bin_Abdulaziz_Mosque-Riyadh_Riyadh_Province.html
27,Attractions,28. Sahara Mall51,https://www.tripadvisor.com/Attraction_Review-g293995-d2646183-Reviews-Sahara_Mall-Riyadh_Riyadh_Province.html
28,Attractions,29. World Sights Park46,https://www.tripadvisor.com/Attraction_Review-g293995-d12196135-Reviews-World_Sights_Park-Riyadh_Riyadh_Province.html
29,Attractions,30. Othman Ibn Affan Mosque23,https://www.tripadvisor.com/Attraction_Review-g293995-d8150871-Reviews-Othman_Ibn_Affan_Mosque-Riyadh_Riyadh_Province.html
30,Tours,1. Edge Of The World Tour including Dinner and Hike from Riyadh153,https://www.tripadvisor.com/AttractionProductReview-g293995-d23257403-Edge_Of_The_World-Riyadh_Riyadh_Province.html
31,Tours,2. Edge of the world160,https://www.tripadvisor.com/AttractionProductReview-g293995-d19867360-Edge_of_the_world-Riyadh_Riyadh_Province.html
32,Tours,3. Edge Of the World off road trip18,https://www.tripadvisor.com/AttractionProductReview-g293995-d24933362-Edge_Of_the_World_off_road_trip-Riyadh_Riyadh_Province.html
33,Tours,4. Private Edge of the World Tour from Riyadh 6,https://www.tripadvisor.com/AttractionProductReview-g293995-d25342249-Private_Edge_of_the_World_Tour_from_Riyadh-Riyadh_Riyadh_Province.html
34,Tours,5. Quad Biking and Camel Riding in Riyadh Desert17,https://www.tripadvisor.com/AttractionProductReview-g293995-d23237002-Quad_Biking_and_Camel_Riding_in_Riyadh_Desert-Riyadh_Riyadh_Province.html
35,Tours,6. Edge Of The World Tour (Private Tour)51,https://www.tripadvisor.com/AttractionProductReview-g293995-d19150720-Edge_Of_The_World_Tour_Private_Tour-Riyadh_Riyadh_Province.html
36,Tours,7. Riyadh City Tour3,https://www.tripadvisor.com/AttractionProductReview-g293995-d19219205-Riyadh_City_Tour-Riyadh_Riyadh_Province.html
37,Tours,8. Edge Of The World Trip3,https://www.tripadvisor.com/AttractionProductReview-g293995-d24933621-Edge_Of_The_World_Trip-Riyadh_Riyadh_Province.html
38,Tours,9. The Edge of The World Tour3,https://www.tripadvisor.com/AttractionProductReview-g293995-d19953588-The_Edge_of_The_World_Tour-Riyadh_Riyadh_Province.html
39,Tours,10. Celebration of Saudi64,https://www.tripadvisor.com/AttractionProductReview-g293995-d26083551-Celebration_of_Saudi-Riyadh_Riyadh_Province.html
40,Tours,11. Private Desert Safari in Al Thumama Desert North Riyadh,https://www.tripadvisor.com/AttractionProductReview-g293995-d26731409-Private_Desert_Safari_in_Al_Thumama_Desert_North_Riyadh-Riyadh_Riyadh_Province.html
41,Tours,12. The Second Edge6,https://www.tripadvisor.com/AttractionProductReview-g293995-d23779274-The_Second_Edge-Riyadh_Riyadh_Province.html
