,Name,Category,Location,Rating,Phone,Email
0,"1. Kingdom Centre Tower1,896",Attractions,NA,4.5,NA,NA
1,2. Edge of The World375,Attractions,NA,5.0,NA,NA
2,3. Al Masmak Fortress646,Attractions,"3153 Al Thumairi St, Riyadh 12652 Saudi Arabia",4.5,NA,NA
3,4. National Museum706,Attractions,"Al-Muraba - King Abdul Aziz Historical Center What3words: Oiled.dodges.divided, Riyadh 11481 Saudi Arabia",4.5,966114029500.0,InfoNM@moc.gov.sa
4,5. Al Rajhi Mosque324,Attractions,NA,5.0,NA,NA
5,6. Al Nakheel Mall289,Attractions,"2976 Al Al Imam Saud Ibn Abdul Aziz Branch Road Al Mughrizat, Riyadh 124856121 Saudi Arabia",4.5,966920000262.0,NA
6,7. King Abdullah Park307,Attractions,"Al Ameen Abdullah Al Ali Al Naeem Street, Riyadh 12836 Saudi Arabia",4.5,NA,NA
7,8. King Abdulaziz Equestrian Field106,Attractions,"Al Jenadriyah Road Al Thumamah Road, Riyadh 13645 Saudi Arabia",4.5,966507139467.0,NA
8,9. Al Faisaliyah Centre662,Attractions,"King Fahad Road, Riyadh 12212 Saudi Arabia",4.0,NA,NA
9,10. King Abdulaziz Historical Center145,Attractions,NA,4.5,NA,NA
10,11. Riyadh Gallery Mall251,Attractions,NA,NA,NA,NA
11,12. Riyadh Zoo597,Attractions,NA,3.5,NA,NA
12,13. Panorama Mall122,Attractions,"Al Takhassusi St. Al Ma'thar Ash Shamali, Riyadh 12332 Saudi Arabia",4.0,96612057401.0,info@panorama-mall.com
13,14. Riyadh Park Mall58,Attractions,"Northern Ring Branch Road, Riyadh 13511 Saudi Arabia",4.5,917032614146.0,NA
14,15. Granada Center244,Attractions,NA,NA,917032614146.0,NA
15,16. King Khalid Grand Mosque85,Attractions,"4289 Umm Al Hamam Umm Al Hamam Al Gharbi, Riyadh 12326 Saudi Arabia",4.5,NA,NA
16,17. Tahlia Street141,Attractions,NA,4.0,NA,NA
17,18. Riyadh Season Boulevard25,Attractions,NA,4.5,966920014180.0,info@riyadhseason.sa
18,19. Salam Park163,Attractions,NA,4.0,NA,NA
19,20. Janadriyah Festival40,Attractions,NA,4.5,NA,NA
20,21. Wadi Namar102,Attractions,Call,4.0,NA,NA
21,22. Wadi Hanifa343,Attractions,NA,4.0,NA,NA
22,23. Hayat Mall91,Attractions,NA,4.0,NA,NA
23,24. Saqer-Aljazirah Aviation Museum113,Attractions,NA,NA,NA,NA
24,25. Imam Turki Bin Abdullah Grand Mosque60,Attractions,NA,NA,NA,NA
25,26. Strike Bowling Alley441,Attractions,NA,5.0,NA,NA
26,27. Princess Latifa Bint Sultan Bin Abdulaziz Mosque24,Attractions,NA,5.0,NA,NA
27,28. Sahara Mall51,Attractions,NA,NA,NA,NA
28,29. World Sights Park46,Attractions,"Eastern Ring Road, Riyadh 12482 Saudi Arabia",4.0,966504216825.0,NA
29,30. Othman Ibn Affan Mosque23,Attractions,NA,4.5,NA,NA
30,1. Edge Of The World Tour including Dinner and Hike from Riyadh153,Tours,NA,5.0,NA,NA
31,2. Edge of the world160,Tours,NA,4.5,NA,NA
32,3. Edge Of the World off road trip18,Tours,NA,4.5,NA,NA
33,4. Private Edge of the World Tour from Riyadh 6,Tours,NA,5.0,NA,NA
34,5. Quad Biking and Camel Riding in Riyadh Desert17,Tours,NA,5.0,NA,NA
35,6. Edge Of The World Tour (Private Tour)51,Tours,NA,5.0,NA,NA
36,7. Riyadh City Tour3,Tours,NA,3.5,NA,NA
37,8. Edge Of The World Trip3,Tours,NA,5.0,NA,NA
38,9. The Edge of The World Tour3,Tours,NA,3.0,NA,NA
39,10. Celebration of Saudi64,Tours,NA,5.0,NA,NA
40,11. Private Desert Safari in Al Thumama Desert North Riyadh,Tours,NA,NA,NA,NA
41,12. The Second Edge6,Tours,NA,NA,NA,NA
42,13. Red Sand Dunes with Dinner4,Tours,NA,5.0,NA,NA
43,14. Edge of the World Tour3,Tours,NA,5.0,NA,NA
44,15. Second Edge Of The World Tour1,Tours,NA,5.0,NA,NA
45,16. Al Masmak Self-Guided Audio Walking Tour1,Tours,NA,5.0,NA,NA
46,17. Riyadh City and Edge of The World (Private Tour)1,Tours,NA,5.0,NA,NA
47,18. Quad Biking in Riyadh Desert1,Tours,NA,NA,NA,NA
48,19. Dining in Riyadh at The Globe Restaurant with Pick Up1,Tours,NA,5.0,NA,NA
49,20. Scheduled Sightseeing Tour in Riyadh,Tours,NA,NA,NA,NA
